candidate_id,candidate_name,domain,jurisdiction,incumbent_standard,origin_or_formalization,lock_in_period,historical_objective,historical_constraints,historical_evidence,technology_change,other_changes,modern_decision_variable,outcomes,datasets,switching_costs,network_costs,regulation,safety,externalities,identifiability,tractability,comparability,source_quality,negative_control_suitability,tfsc_relevance,technology_mediated_relevance,historical_evidence_score,technology_relevance_score,decision_clarity_score,current_data_score,identifiability_score,counterfactual_feasibility_score,transition_cost_feasibility_score,source_quality_score,comparability_score,total_score,exclusion_flag,verification_status,screening_status,screening_reason
AI09,Fixed steering-wheel control layouts,automotive_interfaces,International or jurisdiction-specific; verify before selection,Physical control placement by model convention,Manufacturer and safety guidance,To be established from authoritative historical sources,Provide consistent vehicle operation and inspection with mechanical interfaces.,"Mechanical linkages, analog displays, limited onboard sensing, and no connectivity.",Candidate-level lead only; authoritative history not yet verified,Software-defined controls and multimodal input,"Vehicle electrification, automation, demographics, and distraction concerns.",Function-to-control mapping,"Task time, errors, distraction",Human-machine-interface studies,"Fleet turnover, homologation, repair tooling, and driver retraining.",Cross-manufacturer conventions and service ecosystems.,Vehicle safety and type-approval rules apply.,"Human factors, fail-operational behavior, and cybersecurity are binding.","Crash risk, emissions, accessibility, and repairability.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,digital reconfiguration,1,2,2,1,1,1,1,0,1,10,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
AI10,Periodic roadworthiness inspection,automotive_interfaces,International or jurisdiction-specific; verify before selection,Annual or biennial vehicle inspection,National vehicle inspection regimes,To be established from authoritative historical sources,Provide consistent vehicle operation and inspection with mechanical interfaces.,"Mechanical linkages, analog displays, limited onboard sensing, and no connectivity.",Candidate-level lead only; authoritative history not yet verified,Connected diagnostics and continuous fault reporting,"Vehicle electrification, automation, demographics, and distraction concerns.",Inspection interval and remote trigger,"Defect detection, burden, fraud, safety",Inspection and crash records,"Fleet turnover, homologation, repair tooling, and driver retraining.",Cross-manufacturer conventions and service ecosystems.,Vehicle safety and type-approval rules apply.,"Human factors, fail-operational behavior, and cybersecurity are binding.","Crash risk, emissions, accessibility, and repairability.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK01,Eight-hour shifts,work,International or jurisdiction-specific; verify before selection,Fixed eight-hour daily shift,Labor statutes and collective agreements,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Digital scheduling and remote coordination,"Labor law, workforce composition, service work, and worker preferences.",Shift length and start time,"Output, fatigue, errors, worker preference",Time-use surveys; sector staffing records,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; computation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK02,Five-day workweek,work,International or jurisdiction-specific; verify before selection,Five working days and two rest days,Labor agreements and organizational convention,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Remote work and asynchronous collaboration tools,"Labor law, workforce composition, service work, and worker preferences.",Workday allocation across week,"Output, wellbeing, coverage, commuting",Time-use and workplace trials,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK03,Fixed office hours,work,International or jurisdiction-specific; verify before selection,Common synchronized attendance window,Administrative operating practice,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,"Presence tools, cloud work, and asynchronous workflows","Labor law, workforce composition, service work, and worker preferences.",Required overlap and location schedule,"Coordination, output, access, commute",Time-use; workplace occupancy and trial data,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK04,Fixed break schedules,work,International or jurisdiction-specific; verify before selection,Prescribed breaks at uniform times,Labor rules and production-line practice,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Wearables and workload sensing,"Labor law, workforce composition, service work, and worker preferences.",Break timing and duration,"Fatigue, injury, throughput, equity",Occupational studies; wearable datasets,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK05,Time-clock rounding,work,International or jurisdiction-specific; verify before selection,Rounding attendance to fixed minute increments,Payroll-system limitations and policy,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Exact digital time capture,"Labor law, workforce composition, service work, and worker preferences.",Payable-time rounding rule,"Wages, administration, disputes",Labor decisions; payroll simulations,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,digital records,1,2,2,1,1,1,1,0,1,10,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK06,Periodic performance reviews,work,International or jurisdiction-specific; verify before selection,Annual or semiannual appraisal cycle,Administrative HR practice,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Continuous work systems and feedback platforms,"Labor law, workforce composition, service work, and worker preferences.",Feedback and evaluation frequency,"Goal attainment, bias, burden, retention",Open workforce surveys; field studies,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK07,Calendar preventive maintenance,work,International or jurisdiction-specific; verify before selection,Fixed maintenance intervals,Industrial maintenance manuals,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Condition monitoring and predictive models,"Labor law, workforce composition, service work, and worker preferences.",Maintenance trigger and replacement threshold,"Failures, downtime, cost, waste",NASA C-MAPSS; PHM Society datasets,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; computation,3,3,3,2,3,3,2,3,3,25,,selection_sources_persisted_and_checked,frozen_primary,NASA run-to-failure simulations permit fixed-age and condition-informed maintenance policies to be evaluated with common failure and maintenance-loss functions.
WK08,Batch quality inspection,work,International or jurisdiction-specific; verify before selection,Sample inspection after production batches,Statistical quality-control practice,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Inline machine vision and process sensing,"Labor law, workforce composition, service work, and worker preferences.",Inspection sampling and process-adjustment rule,"Defects, scrap, throughput, false rejects",Open manufacturing quality datasets,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; automation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK09,Paper approval workflows,work,International or jurisdiction-specific; verify before selection,Sequential handwritten form approval,Administrative control practice,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Digital signatures and workflow engines,"Labor law, workforce composition, service work, and worker preferences.",Approval routing and authorization rule,"Cycle time, errors, auditability, fraud",Government process datasets; workflow logs,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; automation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
WK10,Fixed staffing templates,work,International or jurisdiction-specific; verify before selection,Recurring staffing by weekday and shift,Workforce planning practice,To be established from authoritative historical sources,Coordinate labor and production through simple recurring rules.,"On-site work, manual records, batch production, and weak demand visibility.",Candidate-level lead only; authoritative history not yet verified,Real-time demand forecasting and optimization,"Labor law, workforce composition, service work, and worker preferences.",Staff count and skill mix by interval,"Wait, overtime, service, fatigue",Open call-center and service-demand datasets,"Collective bargaining, scheduling systems, training, and managerial change.","Team coordination, customer hours, and supply-chain synchronization.","Labor, wage, occupational-safety, and sector rules apply.","Fatigue, staffing adequacy, and machinery hazards may bind.","Worker health, commuting, care responsibilities, and service quality.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,computation; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED01,Fixed class periods,education,International or jurisdiction-specific; verify before selection,Uniform lesson periods in a bell schedule,Mass-school timetable practice,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Learning platforms and fine-grained progress data,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Period length and subject allocation,"Learning, transitions, attention, staffing",School timetables; learning-platform datasets,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; computation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED02,Age-graded cohorts,education,International or jurisdiction-specific; verify before selection,Students grouped primarily by chronological age,Mass public education administration,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Adaptive learning and mastery tracking,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Grouping and progression rule,"Mastery, equity, social outcomes, staffing",Longitudinal education datasets,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,computation; personalization,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED03,Seat-time credit hours,education,International or jurisdiction-specific; verify before selection,Credits awarded by instructional contact time,Carnegie unit and accreditation practice,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Online and competency-based assessment,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Credit based on time versus demonstrated mastery,"Completion, mastery, transferability, cost",IPEDS; competency-program evaluations,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,digital assessment,1,2,2,1,1,1,1,0,1,10,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED04,Fixed examination duration,education,International or jurisdiction-specific; verify before selection,Uniform time limit for all examinees,Paper examination logistics,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Computerized adaptive testing and accessibility tools,"Enrollment, pedagogy, special needs, household access, and labor-market demand.","Item count, routing, and time limit","Measurement precision, burden, fairness",Public item-response datasets,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,computation; adaptive control,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED05,Fixed testing windows,education,International or jurisdiction-specific; verify before selection,Assessment on common calendar dates,Administrative testing practice,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Secure digital delivery and automated scoring,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Assessment timing and retest policy,"Validity, disruption, equity, security",State assessment schedules and results,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; automation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED06,Printed textbook revision cycles,education,International or jurisdiction-specific; verify before selection,Multi-year edition and adoption cycles,Print production and procurement,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Digital publishing and modular updates,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Update frequency and validation workflow,"Currency, error rates, cost, access",Open textbook repositories and change logs,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital distribution,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED07,Scheduled computer labs,education,International or jurisdiction-specific; verify before selection,Access through fixed shared-lab periods,Scarce school computing hardware,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Low-cost devices and cloud services,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Device allocation and access schedule,"Access, utilization, equity, support cost",School technology surveys,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; cloud computation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED08,Lecture attendance requirements,education,International or jurisdiction-specific; verify before selection,Physical presence at scheduled lectures,Campus-based instruction practice,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,"Recorded, streamed, and interactive online teaching","Enrollment, pedagogy, special needs, household access, and labor-market demand.",Required synchronous attendance proportion,"Learning, engagement, access, cost",Course-level attendance and outcome studies,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital delivery,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED09,Uniform classroom capacity,education,International or jurisdiction-specific; verify before selection,Fixed student count per room or class,Facility and staffing standards,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Hybrid participation and adaptive room allocation,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Physical and remote seat allocation,"Learning, crowding, cost, access",School facilities and enrollment data,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; digital coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
ED10,Fixed school start times,education,International or jurisdiction-specific; verify before selection,Common early-morning start by school tier,Transport and institutional coordination,To be established from authoritative historical sources,"Coordinate mass instruction, assessment, and credentialing.","Physical classrooms, scarce instructors, paper materials, and manual grading.",Candidate-level lead only; authoritative history not yet verified,Routing software and digital coordination,"Enrollment, pedagogy, special needs, household access, and labor-market demand.",Start times and bus-route schedule,"Sleep, attendance, transport cost, family burden",District schedules; time-use and transport data,"Timetables, contracts, facilities, curricula, and credential recognition.","Institutional calendars, transferability, and qualification comparability.","Education, privacy, accessibility, and accreditation rules apply.","Safeguarding, screen exposure, and high-stakes decision errors matter.","Equity, family schedules, socialization, and labor-market signaling.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,computation; coordination,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
HC01,Intermittent vital-sign rounds,healthcare,International or jurisdiction-specific; verify before selection,Vitals measured at fixed multi-hour intervals,Ward observation protocols,To be established from authoritative historical sources,Deliver safe care with periodic observation and standardized workflows.,"Manual records, intermittent measurement, limited connectivity, and scarce staff.",Candidate-level lead only; authoritative history not yet verified,Continuous wearable and bedside monitoring,"Population age, disease burden, staffing, treatment options, and privacy expectations.",Measurement and escalation frequency,"Detection delay, alarm burden, workload, outcomes",MIMIC waveform/clinical data where permitted,"Clinical validation, devices, workflow redesign, training, and liability.","Interoperability across clinicians, devices, records, and payers.","Medical-device, privacy, reimbursement, and professional rules apply.","False alarms, missed deterioration, dosing errors, and cybersecurity are binding.","Caregiver burden, antimicrobial resistance, access, and public health.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,sensing; communication,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
HC02,Fixed medication rounds,healthcare,International or jurisdiction-specific; verify before selection,Medication delivery at common ward times,Nursing workflow and pharmacy schedules,To be established from authoritative historical sources,Deliver safe care with periodic observation and standardized workflows.,"Manual records, intermittent measurement, limited connectivity, and scarce staff.",Candidate-level lead only; authoritative history not yet verified,Electronic administration records and smart dispensing,"Population age, disease burden, staffing, treatment options, and privacy expectations.",Dose timing and delivery route,"Timeliness, errors, workload, sleep disruption",Open medication-administration studies,"Clinical validation, devices, workflow redesign, training, and liability.","Interoperability across clinicians, devices, records, and payers.","Medical-device, privacy, reimbursement, and professional rules apply.","False alarms, missed deterioration, dosing errors, and cybersecurity are binding.","Caregiver burden, antimicrobial resistance, access, and public health.","Provisional; requires separation of technology from demographic, economic, regulatory, and behavioral change",Potentially tractable with public data or an explicitly calibrated open model; not yet verified,Comparable at the protocol level; outcome units remain case-specific,No retained candidate-specific source yet,Possible if the incumbent remains near-optimal,Technology-governance question concerning persistence under changed constraints,communication; automation,1,3,2,1,1,1,1,0,1,11,,unverified_longlist,longlist,Plausible candidate retained for evidence-first screening; score excludes effect direction and magnitude
